title,speaker,hall,companies,date,start_time,end_time,category,conf,text
State of Mobile Dev 2025 Autumn от Программного комитета Mobius,"Андрей Дмитриев, Юрий Дубовой, Кирилл Клебанов",1,"JUG Ru Group, Делимобиль",18-11-2025,10:00,10:45,,Mobius,"Весной мы запустили TechRadar, чтобы изучить рынок мобильной разработки и выяснить, какие инструменты и подходы вы предпочитаете. На открытии конференции поделимся с вами результатами этого исследования.

Кроме того, расскажем о расписании, сессиях и других деталях. Приходите в зал или подключайтесь онлайн, чтобы узнать, что ждет вас в ближайшее время!"
Волновая архитектура на практике,Юрий Дубовой,1,Делимобиль,18-11-2025,10:55,11:40,Architecture,Mobius,"В прошлом сезоне мы увидели Дракона сложности, который живет в стейт-машинах. Дракон не злой и не добрый, он — часть природы мира, и с ним бесполезно сражаться. Слабого сложность поглотит, а сильный — в случае победы — сам станет Драконом. Это происходит снова и снова: OOP, FP, DDD, любые подходы и фреймворки, созданные для борьбы со сложностью, в итоге обрастают собственной — инструментальной, не меньшей, чем та, с которой они пытались справиться.

Мы инстинктивно пытаемся приручить и уменьшить Дракона с помощью закона больших чисел, намеренно упрощая модель предметной области и модель поведения пользователей за счет статистики. Это выхолащивает разнообразие фич, сценариев поведения, интерфейсов. В наших сервисах выживает только математически оптимальное, то есть усредненное, стерильное. В итоге мы обнаруживаем себя в мире монструозных супераппов, удивительно похожих друг на друга. А ведь всего 10–15 лет назад мобильная разработка была бурлящим котлом разнообразия!

В одинаковости и похожести кроется опасность. Если в такую вырожденную экосистему влетает Черный лебедь, она погибает целиком, потому что в ней слишком мало видов и в изменившихся условиях просто некому эволюционировать.

Сегодня мы можем все исправить. Волновая модель способна изменить наш подход к работе и дать прочную основу для персонализации сервисов. Мы не будем сражаться с Драконом сложности, мы не будем его приручать — мы обойдем Дракона по волновому мосту. В докладе я покажу, как построить такой мост на практике."
AntiSOLID,Данил Перевалов,1,Циан,18-11-2025,12:00,12:45,Architecture,Mobius,"Все с пеленок знают о принципах SOLID. Они должны служить улучшению нашего кода, но что, если я скажу, что слепое следование этим принципам может убить ваш код?

Посмотрим на обратную сторону SOLID — концепт AntiSOLID. Это набор антиприципов, которые помогут вам писать живой, поддерживаемый и вменяемый код. Концепт изначально был придуман для C#, но в этом докладе все антипринципы мы будем рассматривать применительно к мобильной разработке."
kotlinx.fuzz: Why Fuzz Testing Matters,Александр Соколинский,1,Coffee&Code,18-11-2025,13:15,14:00,Architecture,Mobius,"Обсудим, что такое Fuzz Testing, какие баги с помощью него были найдены в реальном мире и как с ними помогает библиотека kotlinx.fuzz, которая вышла в публичный релиз 4 апреля 2025 года."
Новая эра мобильной разработки: запускаем LLM локально на телефоне,Самир Ахмедов,1,Surf,18-11-2025,14:30,15:15,Trends,Mobius,"Мы живем в абсолютно удивительной новой эре больших языковых моделей. Они становятся все эффективнее, доступнее и ближе простому обывателю за счет сжатия моделей и распространения моделей телефонов, обладающих достаточными мощностями. Расскажу для нативщиков и кроссплатформщиков, почему локальные LLM — тренд очень скорого будущего, как уже сейчас можно запихнуть интеллект в приложение на разных технологиях и что он умеет."
Crash Reporting 101,Виктория Длугопольская,1,Т-Банк,18-11-2025,15:45,16:30,Infrastructure,Mobius,"Расскажу, как мы делали сервис краш-репортинга для мобильных приложений на базе нашей платформы наблюдаемости Sage. Откуда возникла потребность в отдельном сервисе и почему было недостаточно решения, которое хорошо зарекомендовало себя для серверных приложений. Рассмотрим, с помощью каких open source-компонентов можно реализовать аналогичный сервис у себя и как, используя наш опыт, сделать такой сервис стабильным и не доставляющим проблем.

Объясню, почему выбрали Sentry SDK, как учились группировать ошибки, деобфусцировать стектрейсы и считать корректную статистику. Почему процессить iOS сложнее и дороже и какие дополнительные проблемы пришлось решать для этой платформы. В конце расскажу, почему к нам в итоге (внезапно) стали подключаться и серверные приложения, куда мы решили развивать сервис и как смотрим на OpenTelemetry.

Доклад будет полезен разработчикам, которые занимаются надежностью мобильных приложений, чтобы заглянуть «под капот» сервисов краш-репортинга. И инженерам, которые отвечают за системы мониторинга в компаниях, разрабатывающих мобильные приложения. "
Использование AI в процессах разработки,"Александр Юдин, Сергей Кузнецов",1,VK/RuStore,18-11-2025,17:00,17:45,Trends,Mobius,"Расскажем о том, как использовать AI в процессах разработки."
Камера в KasperskyOS Mobile,Игорь Пчельников,1,Kaspersky,18-11-2025,18:15,19:00,Under the Hood,Mobius,"Исследовательский проект мобильной операционной системы на базе KasperskyOS продолжает активно развиваться и обрастать новыми сервисами. KasperskyOS — не очередной дистрибутив Linux или AOSP. Это микроядерная операционная система, в которой все процессы изолированы, а взаимодействия между ними строго контролируются специальным модулем безопасности.

Для разработки приложений под ОС с не самым мейнстримным дизайном необходимо разбираться не только в устройстве самой операционки, но и хорошо понимать архитектуру железа, в этом случае — стек камеры на мобильном устройстве."
"N техник, которые улучшат работу видеоленты",Рамиль Габдрахманов,2,Yandex Infrastructure,18-11-2025,12:00,12:45,Under the Hood,Mobius,"Расскажу, как «под капотом» устроены ленты коротких видео в Яндексе, какие оптимизации и хитрости используются и о том, что замеряем, чтобы улучшаться. Будет интересно в первую очередь Android-разработчикам: вы почерпнете конкретные техники, направленные на улучшение работы видео, и сможете применить их у себя в приложениях, которые работают с видео. Разработчики iOS и других платформ также смогут перенять опыт, так как сами идеи — кроссплатформенные, да и в проде мы применяем их в Android, iOS и Web.

От вас не ожидается глубоких знаний о каком-то конкретном стандарте видеостриминга. Будет интересно послушать, даже если совсем нет опыта в видео — как минимум, чтобы расширить кругозор и обрести представление о том, какие проблемы решают коллеги."
Кастомим пейнтер через CustomPainter,Айнур Ильясов,2,Surf,18-11-2025,13:15,14:00,Under the Hood,Mobius,"Иногда при разработке Flutter-приложений нам недостаточно простого использования виджетов. В таких случаях нам может помочь CustomPainter.

В докладе:

познакомимся с CustomPainter;
научимся реализовывать анимации;
рассмотрим способы оптимизации CustomPainter и его влияние на перформанс приложения;
покопаем вглубь и познакомимся с более низкоуровневыми сущностями."
